Transaction_ID,Customer_ID,Invoice_Number,Transaction_Date,Invoice_Amount,Payment_Date,Discount_Applied,Refund_Issued,Transaction_Type,Anomaly_Tag
T100033,C8755,INV10033,2024-02-13,628.67,2024-03-03,2.96,40.01,Payment,Normal
T100034,C7956,INV10034,2024-06-13,1640.34,2024-06-25,125.13,148.87,Payment,Normal
T100035,C9809,INV10035,2024-03-26,1321.53,2024-03-29,81.35,99.85,Payment,Normal
T100036,C5194,INV10036,2024-06-27,1221.11,2024-07-23,14.1,35.38,Payment,Normal
T100037,C3244,INV10037,2024-08-21,889.98,2024-09-13,124.11,71.92,Payment,Normal
T100038,C6270,INV10038,2024-12-04,3203.68,2024-12-21,418.78,257.47,Payment,Normal
T100039,C5515,INV10039,2024-08-03,1014.19,2024-09-01,135.78,54.7,Payment,Normal
T100040,C5912,INV10040,2024-10-24,4056.46,2024-11-04,545.24,129.0,Payment,Normal
T100041,C4608,INV10041,2024-06-28,639.25,2024-07-01,21.86,27.3,Payment,Normal
T100042,C7740,INV10042,2024-01-28,4108.27,2024-01-28,530.42,2.86,Payment,Normal
T100043,C1779,INV10043,2024-06-20,2602.66,2024-07-07,162.96,57.81,Payment,Normal
T100044,C6198,INV10044,2024-05-30,687.34,2024-05-30,34.81,64.81,Payment,Normal
T100045,C6594,INV10045,2024-03-01,1683.69,2024-03-01,131.02,118.37,Payment,Normal
T100046,C4104,INV10046,2024-08-27,1881.79,2024-09-19,274.3,181.11,Payment,Normal
T100047,C5531,INV10047,2024-01-05,1333.73,2024-01-29,99.48,40.13,Payment,Normal
T100048,C1908,INV10048,2024-02-24,1495.72,2024-03-16,8.28,91.17,Payment,Normal
T100049,C9397,INV10049,2024-12-12,2563.13,2025-01-01,19.79,71.42,Payment,Normal
T100050,C2283,INV10050,2024-11-23,4550.5,2024-12-02,163.52,65.93,Payment,Normal
T100051,C3903,INV10051,2024-07-18,2498.32,2024-08-08,369.37,60.47,Payment,Normal
T100052,C9469,INV10052,2024-05-24,3393.46,2024-06-11,387.68,80.64,Payment,Normal
T100053,C9574,INV10053,2024-05-21,3668.26,2024-05-21,202.37,231.95,Payment,Normal
T100054,C5418,INV10054,2024-06-30,3204.3,2024-07-11,257.52,28.93,Payment,Normal
T100055,C3087,INV10055,2024-08-14,4192.98,2024-08-31,201.75,78.21,Payment,Normal
T100056,C5165,INV10056,2024-04-26,299.8,2024-05-01,26.57,20.31,Payment,Normal
T100057,C7402,INV10057,2024-01-07,181.28,2024-02-02,13.92,4.11,Payment,Normal
T100058,C8207,INV10058,2024-04-21,3261.35,2024-05-16,85.3,225.34,Payment,Normal
T100059,C6455,INV10059,2024-05-17,1995.0,2024-05-17,280.32,27.44,Payment,Normal
T100060,C9314,INV10060,2024-03-31,1771.23,2024-04-19,30.15,163.78,Payment,Normal
T100061,C1222,INV10061,2024-07-08,4398.96,2024-07-26,170.2,290.32,Payment,Normal
T100062,C3884,INV10062,2024-03-12,4104.39,2024-03-12,341.81,217.39,Payment,Normal
T100063,C3580,INV10063,2024-02-09,1285.08,2024-02-26,17.95,115.3,Payment,Normal
T100064,C6079,INV10064,2024-04-12,4512.05,2024-04-15,428.49,152.97,Payment,Normal
T100065,C2205,INV10065,2024-05-10,1811.13,2024-06-01,197.22,162.48,Payment,Normal
T100066,C3845,INV10066,2024-10-25,4446.72,2024-11-23,520.18,285.49,Payment,Normal
T100067,C8476,INV10067,2024-09-03,512.29,2024-09-09,12.42,46.03,Payment,Normal
T100068,C9673,INV10068,2024-10-02,3071.5,2024-10-25,4.24,31.17,Payment,Normal
T100069,C9233,INV10069,2024-05-25,3351.16,2024-06-20,2.54,53.89,Payment,Normal
T100070,C7942,INV10070,2024-05-28,2788.8,2024-06-09,289.43,181.82,Payment,Normal
T100071,C1982,INV10071,2024-01-01,1198.92,2024-01-18,128.08,28.44,Payment,Normal
T100072,C9887,INV10072,2024-04-14,1694.46,2024-04-29,189.73,110.08,Payment,Normal
T100073,C1884,INV10073,2024-11-25,4261.19,2024-12-11,420.33,242.17,Payment,Normal
T100074,C7145,INV10074,2024-01-06,559.01,2024-01-29,30.83,14.83,Payment,Normal
T100075,C8549,INV10075,2024-08-22,1295.55,2024-08-29,189.09,50.93,Payment,Normal
T100076,C7569,INV10076,2024-12-27,4471.03,2025-01-10,423.28,355.36,Payment,Normal
T100077,C8935,INV10077,2024-08-20,2562.92,2024-08-28,221.78,126.23,Payment,Normal
T100078,C9050,INV10078,2024-09-09,1056.69,2024-10-01,114.51,29.67,Payment,Normal
T100079,C3859,INV10079,2024-06-02,219.15,2024-06-15,21.22,3.88,Payment,Normal
T100080,C2264,INV10080,2024-04-12,4708.25,2024-04-25,673.7,430.74,Payment,Normal
T100081,C9783,INV10081,2024-01-31,1913.78,2024-02-19,4.44,177.66,Payment,Normal
T100082,C5206,INV10082,2024-07-06,2198.1,2024-07-24,318.72,211.81,Payment,Normal
T100083,C6216,INV10083,2024-06-12,4279.75,2024-07-07,189.03,164.81,Payment,Normal
T100084,C6274,INV10084,2024-04-04,4270.57,2024-04-12,203.02,72.38,Payment,Normal
T100085,C5153,INV10085,2024-01-13,2828.33,2024-02-02,397.16,196.86,Payment,Normal
T100086,C8171,INV10086,2024-08-31,2893.3,2024-09-17,42.17,177.94,Payment,Normal
T100087,C5502,INV10087,2024-05-30,4951.26,2024-05-31,104.04,256.64,Payment,Normal
T100088,C8848,INV10088,2024-05-28,4399.13,2024-06-04,488.81,306.63,Payment,Normal
T100089,C1936,INV10089,2024-12-17,3542.17,2025-01-13,191.01,104.0,Payment,Normal
T100090,C9096,INV10090,2024-07-08,4065.87,2024-08-06,494.07,352.54,Payment,Normal
T100091,C7976,INV10091,2024-09-13,4574.88,2024-10-10,350.9,229.44,Payment,Normal
T100092,C1315,INV10092,2024-03-19,4011.65,2024-03-26,391.11,281.6,Payment,Normal
T100093,C5524,INV10093,2024-07-12,3999.38,2024-07-28,533.92,135.18,Payment,Normal
T100094,C7921,INV10094,2024-04-06,1940.36,2024-04-10,27.35,112.21,Payment,Normal
T100095,C5114,INV10095,2024-10-17,276.12,2024-10-31,19.28,14.98,Payment,Normal
T100096,C5139,INV10096,2024-07-19,1504.05,2024-07-25,133.3,4.59,Payment,Normal
T100097,C7245,INV10097,2024-06-10,283.01,2024-06-22,34.92,10.19,Payment,Normal
T100098,C6896,INV10098,2024-05-27,722.6,2024-06-08,56.61,55.64,Payment,Normal
T100099,C5061,INV10099,2024-06-15,1157.52,2024-06-19,108.15,9.88,Payment,Normal
T100100,C4635,INV10100,2024-05-10,353.24,2024-05-14,28.15,19.1,Payment,Normal
T100101,C7140,INV10101,2024-10-07,3223.41,2024-10-07,351.07,314.56,Payment,Normal
T100102,C2733,INV10102,2024-07-03,2629.87,2024-07-12,127.4,209.12,Payment,Normal
T100103,C3228,INV10103,2024-10-09,1427.08,2024-10-31,93.97,11.2,Payment,Normal
T100104,C9334,INV10104,2024-09-25,224.22,2024-10-22,32.38,18.74,Payment,Normal
T100105,C4443,INV10105,2024-04-06,3510.27,2024-04-06,215.33,60.83,Payment,Normal
T100106,C8368,INV10106,2024-03-04,866.54,2024-03-28,32.53,47.59,Payment,Normal
T100107,C2610,INV10107,2024-01-01,3601.52,2024-01-09,356.66,100.82,Payment,Normal
T100108,C3640,INV10108,2024-08-05,4778.84,2024-08-29,528.94,264.92,Payment,Normal
T100109,C8816,INV10109,2024-05-04,3097.43,2024-05-25,194.95,76.73,Payment,Normal
T100110,C7142,INV10110,2024-02-08,1844.27,2024-03-09,209.65,2.65,Payment,Normal
T100111,C8032,INV10111,2024-12-14,668.76,2025-01-13,4.61,2.72,Payment,Normal
T100112,C9035,INV10112,2024-06-02,4291.76,2024-06-10,452.99,203.5,Payment,Normal
T100113,C2353,INV10113,2024-02-23,579.39,2024-03-22,42.73,27.43,Payment,Normal
T100114,C5692,INV10114,2024-09-29,948.69,2024-10-01,61.74,37.81,Payment,Normal
T100115,C9889,INV10115,2024-06-29,3117.67,2024-07-11,297.0,14.12,Payment,Normal
T100116,C1604,INV10116,2024-05-24,1935.6,2024-05-31,181.71,97.39,Payment,Normal
T100117,C5501,INV10117,2024-11-20,4296.8,2024-12-12,424.54,70.01,Payment,Normal
T100118,C4565,INV10118,2024-01-17,445.79,2024-01-18,42.96,1.18,Payment,Normal
T100119,C8605,INV10119,2024-01-05,2970.3,2024-01-15,418.91,170.93,Payment,Normal
T100120,C5817,INV10120,2024-09-22,2002.03,2024-10-21,193.18,91.74,Payment,Normal
T100121,C5412,INV10121,2024-05-03,2773.52,2024-05-03,391.68,107.09,Payment,Normal
T100122,C4014,INV10122,2024-07-27,4809.83,2024-08-18,653.19,94.17,Payment,Normal
T100123,C4130,INV10123,2024-05-02,439.87,2024-05-07,6.65,0.8,Payment,Normal
T100124,C3290,INV10124,2024-12-20,562.77,2025-01-12,57.66,4.01,Payment,Normal
T100125,C9244,INV10125,2024-09-22,1662.98,2024-10-15,210.75,3.87,Payment,Normal
T100126,C8789,INV10126,2024-08-14,4090.9,2024-08-16,172.96,48.34,Payment,Normal
T100127,C7634,INV10127,2024-05-15,3514.01,2024-06-14,331.52,308.34,Payment,Normal
T100128,C2381,INV10128,2024-01-23,3701.85,2024-01-31,446.15,104.4,Payment,Normal
T100129,C4525,INV10129,2024-12-16,969.45,2025-01-13,109.15,78.22,Payment,Normal
T100130,C1390,INV10130,2024-11-25,4953.48,2024-12-19,306.58,184.28,Payment,Normal
T100131,C7376,INV10131,2024-05-18,3904.42,2024-05-21,199.6,363.41,Payment,Normal
T100132,C1967,INV10132,2024-03-24,4306.22,2024-04-05,277.1,323.34,Payment,Normal
T100133,C4032,INV10133,2024-12-24,3797.26,2025-01-17,58.74,342.72,Payment,Normal
T100134,C3105,INV10134,2024-09-11,2575.74,2024-09-19,319.31,82.44,Payment,Normal
T100135,C7303,INV10135,2024-04-16,4488.06,2024-04-27,262.01,4.86,Payment,Normal
T100136,C3478,INV10136,2024-01-20,4536.37,2024-02-17,62.12,144.85,Payment,Normal
T100137,C2990,INV10137,2024-03-15,4755.3,2024-03-31,678.06,272.69,Payment,Normal
T100138,C5202,INV10138,2024-03-19,3196.0,2024-03-28,214.98,93.71,Payment,Normal
T100139,C6852,INV10139,2024-11-17,1710.46,2024-12-07,172.55,128.69,Payment,Normal
T100140,C1903,INV10140,2024-07-27,3978.74,2024-08-23,471.25,36.29,Payment,Normal
T100141,C4105,INV10141,2024-03-19,2522.66,2024-04-10,21.78,138.63,Payment,Normal
T100142,C2349,INV10142,2024-09-29,2263.5,2024-09-29,301.4,79.43,Payment,Normal
T100143,C9731,INV10143,2024-08-17,673.63,2024-08-23,14.45,51.3,Payment,Normal
T100144,C1198,INV10144,2024-11-25,3129.27,2024-12-15,47.47,26.32,Payment,Normal
T100145,C1738,INV10145,2024-04-29,3534.75,2024-05-05,38.58,290.51,Payment,Normal
T100146,C7285,INV10146,2024-11-13,3560.59,2024-12-09,43.45,30.21,Payment,Normal
T100147,C1942,INV10147,2024-05-04,4934.53,2024-05-21,277.03,182.89,Payment,Normal
T100148,C3804,INV10148,2024-04-30,4082.72,2024-05-02,580.1,402.56,Payment,Normal
T100149,C8742,INV10149,2024-03-28,3791.55,2024-04-24,213.99,31.66,Payment,Normal
T100150,C1277,INV10150,2024-01-16,3908.02,2024-01-22,327.34,165.79,Payment,Normal
T100151,C9994,INV10151,2024-06-12,4541.14,2024-07-08,75.74,223.71,Payment,Normal
T100152,C6018,INV10152,2024-11-25,155.63,2024-11-27,10.94,0.88,Payment,Normal
T100153,C8994,INV10153,2024-08-15,682.21,2024-09-13,12.03,44.29,Payment,Normal
T100154,C6925,INV10154,2024-04-23,3755.62,2024-04-28,328.64,361.36,Payment,Normal
T100155,C4140,INV10155,2024-02-19,1936.87,2024-02-24,83.01,168.24,Payment,Normal
T100156,C9645,INV10156,2024-11-12,1195.62,2024-11-26,172.75,1.45,Payment,Normal
T100157,C9302,INV10157,2024-04-24,4852.41,2024-05-24,31.41,432.42,Payment,Normal
T100158,C9001,INV10158,2024-10-15,2685.74,2024-10-25,400.03,19.82,Payment,Normal
T100159,C1022,INV10159,2024-07-12,2813.89,2024-07-13,409.13,147.19,Payment,Normal
T100160,C6419,INV10160,2024-02-11,3184.05,2024-02-29,332.29,144.73,Payment,Normal
T100161,C5697,INV10161,2024-01-07,3175.03,2024-01-28,278.28,286.12,Payment,Normal
T100162,C4601,INV10162,2024-06-02,322.69,2024-06-12,13.6,30.67,Payment,Normal
T100163,C2471,INV10163,2024-11-29,4462.29,2024-12-14,304.99,276.72,Payment,Normal
T100164,C3452,INV10164,2024-03-06,1459.17,2024-03-24,41.18,67.66,Payment,Normal
T100165,C3694,INV10165,2024-04-16,1831.43,2024-04-21,160.34,14.24,Payment,Normal
T100166,C1653,INV10166,2024-10-09,4874.53,2024-10-10,721.1,340.32,Payment,Normal
T100167,C6494,INV10167,2024-01-02,2726.87,2024-01-15,126.61,221.91,Payment,Normal
T100168,C4241,INV10168,2024-08-26,3455.18,2024-08-31,84.28,314.74,Payment,Normal
T100169,C4430,INV10169,2024-08-16,4130.43,2024-08-30,588.46,299.75,Payment,Normal
T100170,C2487,INV10170,2024-08-30,3105.73,2024-09-11,194.84,289.68,Payment,Normal
T100171,C6189,INV10171,2024-11-25,4343.71,2024-11-29,29.46,11.45,Payment,Normal
T100172,C5608,INV10172,2024-01-11,1944.67,2024-01-31,236.44,191.99,Payment,Normal
T100173,C6486,INV10173,2024-05-03,837.04,2024-05-13,74.6,31.88,Payment,Normal
T100174,C7731,INV10174,2024-11-03,4852.58,2024-11-25,612.97,406.81,Payment,Normal
T100175,C9807,INV10175,2024-06-03,2396.6,2024-06-09,149.12,65.52,Payment,Normal
T100176,C9212,INV10176,2024-04-16,376.24,2024-04-17,48.8,30.58,Payment,Normal
T100177,C5494,INV10177,2024-04-25,4998.62,2024-05-19,747.27,277.64,Payment,Normal
T100178,C9752,INV10178,2024-02-17,3868.04,2024-02-26,548.16,328.65,Payment,Normal
T100179,C8372,INV10179,2024-11-15,1312.01,2024-12-05,88.67,16.95,Payment,Normal
T100180,C5472,INV10180,2024-01-11,4774.85,2024-01-23,434.16,109.17,Payment,Normal
T100181,C6190,INV10181,2024-03-24,3391.33,2024-04-06,314.44,121.46,Payment,Normal
T100182,C8097,INV10182,2024-03-12,656.43,2024-03-21,66.13,34.15,Payment,Normal
T100183,C4775,INV10183,2024-12-04,3884.36,2024-12-07,303.08,331.02,Payment,Normal
T100184,C1553,INV10184,2024-06-11,2804.34,2024-07-05,235.96,245.84,Payment,Normal
T100185,C4983,INV10185,2024-03-30,2077.07,2024-04-25,41.75,5.98,Payment,Normal
T100186,C3902,INV10186,2024-12-08,3800.17,2024-12-14,353.59,267.56,Payment,Normal
T100187,C1617,INV10187,2024-12-10,1143.52,2024-12-21,23.39,1.66,Payment,Normal
T100188,C1418,INV10188,2024-03-16,1817.88,2024-04-05,160.86,71.31,Payment,Normal
T100189,C1331,INV10189,2024-03-23,2243.63,2024-04-08,304.29,78.14,Payment,Normal
T100190,C9960,INV10190,2024-05-22,2618.55,2024-06-12,307.81,103.84,Payment,Normal
T100191,C3914,INV10191,2024-06-29,3148.22,2024-07-26,407.24,298.93,Payment,Normal
T100192,C8722,INV10192,2024-04-11,820.66,2024-04-21,114.06,40.39,Payment,Normal
T100193,C5843,INV10193,2024-05-04,1365.4,2024-05-17,94.04,133.81,Payment,Normal
T100194,C7784,INV10194,2024-07-11,2513.83,2024-07-20,123.96,159.23,Payment,Normal
T100195,C4632,INV10195,2024-10-28,1276.71,2024-11-05,14.53,16.45,Payment,Normal
T100196,C6893,INV10196,2024-10-21,727.42,2024-11-12,16.57,10.1,Payment,Normal
T100197,C3147,INV10197,2024-08-13,3240.29,2024-08-21,88.4,112.01,Payment,Normal
T100198,C6917,INV10198,2024-01-21,4494.26,2024-02-19,319.52,300.02,Payment,Normal
T100199,C4252,INV10199,2024-04-17,944.37,2024-04-18,27.24,3.86,Payment,Normal
T100200,C2292,INV10200,2024-09-27,927.78,2024-10-05,38.77,16.42,Payment,Normal
T100201,C6813,INV10201,2024-05-21,534.64,2024-05-24,9.67,24.64,Payment,Normal
T100202,C9495,INV10202,2024-05-17,1111.04,2024-05-26,60.71,55.93,Payment,Normal
T100203,C1195,INV10203,2024-07-11,3482.93,2024-08-08,20.54,278.43,Payment,Normal
T100204,C3711,INV10204,2024-09-13,3176.71,2024-10-06,38.96,277.51,Payment,Normal
T100205,C1097,INV10205,2024-07-25,4612.27,2024-08-06,42.26,127.7,Payment,Normal
T100206,C5690,INV10206,2024-12-06,4050.39,2024-12-31,454.61,74.74,Payment,Normal
T100207,C7297,INV10207,2024-09-17,1125.81,2024-09-27,62.56,54.55,Payment,Normal
T100208,C8390,INV10208,2024-02-12,3129.45,2024-02-14,173.17,144.75,Payment,Normal
T100209,C8729,INV10209,2024-10-11,3762.61,2024-10-27,20.7,94.98,Payment,Normal
T100210,C7473,INV10210,2024-02-11,3595.41,2024-02-23,482.8,183.97,Payment,Normal
T100211,C7666,INV10211,2024-12-25,2707.36,2025-01-23,43.52,121.13,Payment,Normal
T100212,C9140,INV10212,2024-12-26,2709.82,2025-01-23,98.56,72.96,Payment,Normal
T100213,C1920,INV10213,2024-11-11,1948.69,2024-11-18,5.87,62.76,Payment,Normal
T100214,C5846,INV10214,2024-11-30,1136.1,2024-12-10,55.81,13.61,Payment,Normal
T100215,C3597,INV10215,2024-12-23,4463.58,2024-12-30,397.43,303.12,Payment,Normal
T100216,C3460,INV10216,2024-02-19,3966.94,2024-03-09,296.59,34.48,Payment,Normal
T100217,C5617,INV10217,2024-07-02,2731.82,2024-07-23,240.47,203.64,Payment,Normal
T100218,C8365,INV10218,2024-07-22,2215.13,2024-08-12,42.39,62.86,Payment,Normal
T100219,C1282,INV10219,2024-05-25,1879.1,2024-06-12,182.06,107.25,Payment,Normal
T100220,C8109,INV10220,2024-04-18,1844.87,2024-05-02,273.0,111.76,Payment,Normal
T100221,C8979,INV10221,2024-02-25,1262.41,2024-03-25,19.27,19.3,Payment,Normal
T100222,C5650,INV10222,2024-10-02,1305.19,2024-10-23,31.46,24.35,Payment,Normal
T100223,C7311,INV10223,2024-03-28,1496.97,2024-04-01,38.93,134.24,Payment,Normal
T100224,C9034,INV10224,2024-03-07,493.15,2024-03-16,38.8,20.24,Payment,Normal
T100225,C6530,INV10225,2024-01-01,4913.66,2024-01-31,82.58,195.49,Payment,Normal
T100226,C4618,INV10226,2024-08-07,4850.41,2024-08-27,629.71,396.31,Payment,Normal
T100227,C9284,INV10227,2024-05-30,1363.72,2024-06-03,34.96,91.18,Payment,Normal
T100228,C9663,INV10228,2024-09-25,4653.94,2024-10-25,388.67,266.03,Payment,Normal
T100229,C5472,INV10229,2024-07-18,1471.9,2024-07-30,169.89,27.53,Payment,Normal
T100230,C8143,INV10230,2024-01-06,1686.03,2024-01-15,107.59,85.58,Payment,Normal
T100231,C2693,INV10231,2024-06-03,1287.81,2024-06-24,22.18,78.64,Payment,Normal
T100232,C3801,INV10232,2024-06-29,1514.29,2024-07-13,132.02,23.37,Payment,Normal
T100233,C8048,INV10233,2024-03-12,2457.59,2024-04-08,196.33,12.74,Payment,Normal
T100234,C8275,INV10234,2024-07-07,1749.36,2024-07-20,35.27,11.09,Payment,Normal
T100235,C6194,INV10235,2024-11-08,4950.81,2024-11-08,239.39,400.95,Payment,Normal
T100236,C7522,INV10236,2024-03-17,1347.74,2024-04-07,137.77,102.46,Payment,Normal
T100237,C8984,INV10237,2024-07-24,3018.63,2024-08-16,213.53,124.32,Payment,Normal
T100238,C7217,INV10238,2024-08-02,1809.45,2024-08-25,252.29,150.3,Payment,Normal
T100239,C8380,INV10239,2024-02-05,4828.63,2024-02-17,90.03,352.91,Payment,Normal
T100240,C8390,INV10240,2024-10-21,4697.87,2024-10-25,127.71,31.24,Payment,Normal
T100241,C9063,INV10241,2024-11-19,3731.49,2024-12-05,321.55,314.13,Payment,Normal
T100242,C9384,INV10242,2024-05-02,784.88,2024-05-09,93.63,15.83,Payment,Normal
T100243,C6488,INV10243,2024-09-21,901.91,2024-10-14,22.22,73.47,Payment,Normal
T100244,C1826,INV10244,2024-12-22,3359.47,2024-12-22,263.58,120.55,Payment,Normal
T100245,C7988,INV10245,2024-11-14,4398.28,2024-11-27,258.91,359.16,Payment,Normal
T100246,C1564,INV10246,2024-04-02,2251.76,2024-04-03,127.32,104.18,Payment,Normal
T100247,C9371,INV10247,2024-01-08,1576.75,2024-01-30,176.82,79.27,Payment,Normal
T100248,C6232,INV10248,2024-01-03,1237.84,2024-01-08,167.03,47.52,Payment,Normal
T100249,C7923,INV10249,2024-10-12,2763.41,2024-10-31,375.74,172.5,Payment,Normal
T100250,C1336,INV10250,2024-05-23,672.8,2024-06-10,94.85,42.23,Payment,Normal
T100251,C8426,INV10251,2024-09-19,1741.04,2024-09-22,36.37,138.24,Payment,Normal
T100252,C6097,INV10252,2024-07-16,3138.36,2024-08-05,251.13,280.54,Payment,Normal
T100253,C9537,INV10253,2024-07-12,3964.13,2024-07-19,90.19,123.57,Payment,Normal
T100254,C4911,INV10254,2024-01-12,1317.6,2024-01-24,147.03,4.42,Payment,Normal
T100255,C5588,INV10255,2024-04-25,2892.46,2024-04-29,330.81,253.6,Payment,Normal
T100256,C9646,INV10256,2024-05-28,1776.2,2024-06-25,218.81,19.65,Payment,Normal
T100257,C6379,INV10257,2024-05-04,4247.62,2024-05-07,81.23,168.75,Payment,Normal
T100258,C2071,INV10258,2024-01-28,4006.75,2024-02-17,90.1,91.86,Payment,Normal
T100259,C3289,INV10259,2024-12-22,3639.04,2025-01-11,393.04,233.32,Payment,Normal
T100260,C5806,INV10260,2024-09-13,3500.35,2024-09-14,284.96,88.14,Payment,Normal
T100261,C6920,INV10261,2024-08-23,1793.91,2024-09-06,48.87,162.97,Payment,Normal
T100262,C6942,INV10262,2024-06-03,2958.62,2024-06-10,177.9,136.69,Payment,Normal
T100263,C1208,INV10263,2024-07-04,4741.69,2024-07-04,109.07,277.97,Payment,Normal
T100264,C4768,INV10264,2024-11-13,2578.85,2024-11-20,236.53,4.67,Payment,Normal
T100265,C2043,INV10265,2024-05-02,4373.41,2024-05-15,611.48,247.16,Payment,Normal
T100266,C6605,INV10266,2024-03-06,3513.59,2024-04-01,486.19,248.49,Payment,Normal
T100267,C1619,INV10267,2024-10-20,847.44,2024-11-05,73.26,51.42,Payment,Normal
T100268,C9194,INV10268,2024-05-13,2178.24,2024-06-09,240.62,203.53,Payment,Normal
T100269,C7431,INV10269,2024-09-10,4635.29,2024-09-28,313.47,52.49,Payment,Normal
T100270,C9159,INV10270,2024-12-12,4925.72,2025-01-02,619.83,61.41,Payment,Normal
T100271,C2422,INV10271,2024-10-27,4612.13,2024-11-11,601.81,239.29,Payment,Normal
T100272,C4107,INV10272,2024-02-20,2997.25,2024-02-25,179.39,16.41,Payment,Normal
T100273,C1469,INV10273,2024-08-15,1742.47,2024-09-05,209.84,0.81,Payment,Normal
T100274,C7614,INV10274,2024-06-11,1734.15,2024-06-30,103.57,93.19,Payment,Normal
T100275,C7425,INV10275,2024-05-07,4607.29,2024-05-10,239.36,159.85,Payment,Normal
T100276,C2071,INV10276,2024-04-20,3713.76,2024-05-18,251.91,83.41,Payment,Normal
T100277,C1330,INV10277,2024-05-02,2316.95,2024-05-17,48.95,40.87,Payment,Normal
T100278,C1730,INV10278,2024-11-02,2542.0,2024-11-14,159.74,232.55,Payment,Normal
T100279,C4216,INV10279,2024-11-23,1875.73,2024-12-13,163.35,118.6,Payment,Normal
T100280,C7797,INV10280,2024-07-11,164.16,2024-08-06,16.34,2.92,Payment,Normal
T100281,C6148,INV10281,2024-03-14,4809.24,2024-03-28,107.24,199.4,Payment,Normal
T100282,C2892,INV10282,2024-07-17,518.21,2024-07-18,77.49,26.02,Payment,Normal
T100283,C8963,INV10283,2024-09-27,3017.39,2024-10-11,30.36,226.29,Payment,Normal
T100284,C1976,INV10284,2024-10-23,1128.54,2024-11-05,152.02,23.15,Payment,Normal
T100285,C4819,INV10285,2024-04-22,1034.37,2024-04-24,5.67,48.83,Payment,Normal
T100286,C8556,INV10286,2024-11-17,2867.72,2024-11-29,28.27,222.4,Payment,Normal
T100287,C3226,INV10287,2024-01-10,2321.12,2024-01-12,182.58,102.31,Payment,Normal
T100288,C3702,INV10288,2024-09-16,2063.74,2024-09-23,173.24,32.04,Payment,Normal
